cifar100 loaded
There are 40000 training samples and 10000 validation samples
There are 10000 test samples.
This is records for stage 2
Train with the cl selected dataset.
load parameters
------------------ Start to select subsets ------------------
Selected 50 percent training data.
Use multiple GPU to train the network.
Use 100 epochs
Epoch: 0
 [>................................................................] 1/79   Step: 1m1s | Tot: 0ms | Loss: 0.635 | Acc: 82.812% (212/256)              
 [=========>.......................................................] 12/79   Step: 964ms | Tot: 10s896ms | Loss: 0.018 | Acc: 99.772% (3065/3072)              
 [=========>.......................................................] 13/79   Step: 979ms | Tot: 11s876ms | Loss: 0.017 | Acc: 99.790% (3321/3328)              
 [==========>......................................................] 14/79   Step: 965ms | Tot: 12s841ms | Loss: 0.018 | Acc: 99.805% (3577/3584)              
 [===========>.....................................................] 15/79   Step: 1s64ms | Tot: 13s906ms | Loss: 0.018 | Acc: 99.792% (3832/3840)              
 [============>....................................................] 16/79   Step: 962ms | Tot: 14s868ms | Loss: 0.018 | Acc: 99.805% (4088/4096)              
 [=============>...................................................] 17/79   Step: 962ms | Tot: 15s831ms | Loss: 0.018 | Acc: 99.793% (4343/4352)              
 [=============>...................................................] 18/79   Step: 964ms | Tot: 16s795ms | Loss: 0.018 | Acc: 99.805% (4599/4608)              
 [==============>..................................................] 19/79   Step: 981ms | Tot: 17s776ms | Loss: 0.018 | Acc: 99.815% (4855/4864)              
 [===============>.................................................] 20/79   Step: 1s64ms | Tot: 18s841ms | Loss: 0.018 | Acc: 99.824% (5111/5120)              
 [================>................................................] 21/79   Step: 964ms | Tot: 19s806ms | Loss: 0.018 | Acc: 99.814% (5366/5376)              
 [=================>...............................................] 22/79   Step: 964ms | Tot: 20s770ms | Loss: 0.018 | Acc: 99.822% (5622/5632)              
 [==================>..............................................] 23/79   Step: 982ms | Tot: 21s753ms | Loss: 0.019 | Acc: 99.830% (5878/5888)              
 [==================>..............................................] 24/79   Step: 1s65ms | Tot: 22s818ms | Loss: 0.019 | Acc: 99.837% (6134/6144)              
 [===================>.............................................] 25/79   Step: 962ms | Tot: 23s780ms | Loss: 0.019 | Acc: 99.844% (6390/6400)              
 [====================>............................................] 26/79   Step: 963ms | Tot: 24s744ms | Loss: 0.019 | Acc: 99.850% (6646/6656)              
 [=====================>...........................................] 27/79   Step: 978ms | Tot: 25s722ms | Loss: 0.020 | Acc: 99.841% (6901/6912)              
 [======================>..........................................] 28/79   Step: 966ms | Tot: 26s689ms | Loss: 0.020 | Acc: 99.805% (7154/7168)              
 [=======================>.........................................] 29/79   Step: 1s63ms | Tot: 27s752ms | Loss: 0.020 | Acc: 99.798% (7409/7424)              
 [=======================>.........................................] 30/79   Step: 963ms | Tot: 28s716ms | Loss: 0.020 | Acc: 99.805% (7665/7680)              
 [========================>........................................] 31/79   Step: 967ms | Tot: 29s684ms | Loss: 0.020 | Acc: 99.811% (7921/7936)              
 [=========================>.......................................] 32/79   Step: 966ms | Tot: 30s650ms | Loss: 0.020 | Acc: 99.805% (8176/8192)              
 [==========================>......................................] 33/79   Step: 1s86ms | Tot: 31s737ms | Loss: 0.020 | Acc: 99.811% (8432/8448)              
 [===========================>.....................................] 34/79   Step: 962ms | Tot: 32s700ms | Loss: 0.020 | Acc: 99.816% (8688/8704)              
 [===========================>.....................................] 35/79   Step: 967ms | Tot: 33s667ms | Loss: 0.020 | Acc: 99.810% (8943/8960)              
 [============================>....................................] 36/79   Step: 969ms | Tot: 34s636ms | Loss: 0.020 | Acc: 99.816% (9199/9216)              
 [=============================>...................................] 37/79   Step: 968ms | Tot: 35s604ms | Loss: 0.020 | Acc: 99.810% (9454/9472)              
 [==============================>..................................] 38/79   Step: 1s85ms | Tot: 36s690ms | Loss: 0.020 | Acc: 99.815% (9710/9728)              
 [===============================>.................................] 39/79   Step: 964ms | Tot: 37s655ms | Loss: 0.020 | Acc: 99.820% (9966/9984)              
 [================================>................................] 40/79   Step: 961ms | Tot: 38s617ms | Loss: 0.020 | Acc: 99.814% (10221/10240)              
 [================================>................................] 41/79   Step: 968ms | Tot: 39s585ms | Loss: 0.020 | Acc: 99.819% (10477/10496)              
 [=================================>...............................] 42/79   Step: 971ms | Tot: 40s556ms | Loss: 0.020 | Acc: 99.814% (10732/10752)              
 [==================================>..............................] 43/79   Step: 1s93ms | Tot: 41s649ms | Loss: 0.020 | Acc: 99.818% (10988/11008)              
 [===================================>.............................] 44/79   Step: 963ms | Tot: 42s613ms | Loss: 0.020 | Acc: 99.822% (11244/11264)              
 [====================================>............................] 45/79   Step: 965ms | Tot: 43s578ms | Loss: 0.019 | Acc: 99.826% (11500/11520)              
 [=====================================>...........................] 46/79   Step: 965ms | Tot: 44s544ms | Loss: 0.020 | Acc: 99.813% (11754/11776)              
 [=====================================>...........................] 47/79   Step: 963ms | Tot: 45s507ms | Loss: 0.019 | Acc: 99.809% (12009/12032)              
 [======================================>..........................] 48/79   Step: 1s63ms | Tot: 46s570ms | Loss: 0.019 | Acc: 99.813% (12265/12288)              
 [=======================================>.........................] 49/79   Step: 966ms | Tot: 47s537ms | Loss: 0.019 | Acc: 99.817% (12521/12544)              
 [========================================>........................] 50/79   Step: 964ms | Tot: 48s502ms | Loss: 0.019 | Acc: 99.820% (12777/12800)              
 [=========================================>.......................] 51/79   Step: 966ms | Tot: 49s468ms | Loss: 0.019 | Acc: 99.824% (13033/13056)              
 [=========================================>.......................] 52/79   Step: 1s66ms | Tot: 50s534ms | Loss: 0.019 | Acc: 99.827% (13289/13312)              
 [==========================================>......................] 53/79   Step: 967ms | Tot: 51s501ms | Loss: 0.019 | Acc: 99.830% (13545/13568)              
 [===========================================>.....................] 54/79   Step: 982ms | Tot: 52s484ms | Loss: 0.019 | Acc: 99.826% (13800/13824)              
 [============================================>....................] 55/79   Step: 969ms | Tot: 53s454ms | Loss: 0.019 | Acc: 99.830% (14056/14080)              
 [=============================================>...................] 56/79   Step: 964ms | Tot: 54s418ms | Loss: 0.019 | Acc: 99.826% (14311/14336)              
 [==============================================>..................] 57/79   Step: 1s81ms | Tot: 55s500ms | Loss: 0.019 | Acc: 99.829% (14567/14592)              
 [==============================================>..................] 58/79   Step: 969ms | Tot: 56s469ms | Loss: 0.019 | Acc: 99.832% (14823/14848)              
 [===============================================>.................] 59/79   Step: 963ms | Tot: 57s433ms | Loss: 0.019 | Acc: 99.834% (15079/15104)              
 [================================================>................] 60/79   Step: 965ms | Tot: 58s398ms | Loss: 0.019 | Acc: 99.837% (15335/15360)              
 [=================================================>...............] 61/79   Step: 1s66ms | Tot: 59s465ms | Loss: 0.019 | Acc: 99.840% (15591/15616)              
 [==================================================>..............] 62/79   Step: 968ms | Tot: 1m433ms | Loss: 0.019 | Acc: 99.842% (15847/15872)              
 [===================================================>.............] 63/79   Step: 963ms | Tot: 1m1s | Loss: 0.019 | Acc: 99.845% (16103/16128)              
 [===================================================>.............] 64/79   Step: 978ms | Tot: 1m2s | Loss: 0.019 | Acc: 99.841% (16358/16384)              
 [====================================================>............] 65/79   Step: 967ms | Tot: 1m3s | Loss: 0.019 | Acc: 99.844% (16614/16640)              
 [=====================================================>...........] 66/79   Step: 1s67ms | Tot: 1m4s | Loss: 0.019 | Acc: 99.846% (16870/16896)              
 [======================================================>..........] 67/79   Step: 963ms | Tot: 1m5s | Loss: 0.019 | Acc: 99.848% (17126/17152)              
 [=======================================================>.........] 68/79   Step: 963ms | Tot: 1m6s | Loss: 0.019 | Acc: 99.851% (17382/17408)              
 [=======================================================>.........] 69/79   Step: 969ms | Tot: 1m7s | Loss: 0.019 | Acc: 99.853% (17638/17664)              
 [========================================================>........] 70/79   Step: 1s65ms | Tot: 1m8s | Loss: 0.019 | Acc: 99.855% (17894/17920)              
 [=========================================================>.......] 71/79   Step: 963ms | Tot: 1m9s | Loss: 0.018 | Acc: 99.857% (18150/18176)              
 [==========================================================>......] 72/79   Step: 962ms | Tot: 1m10s | Loss: 0.019 | Acc: 99.854% (18405/18432)              
 [===========================================================>.....] 73/79   Step: 967ms | Tot: 1m11s | Loss: 0.019 | Acc: 99.856% (18661/18688)              
 [============================================================>....] 74/79   Step: 981ms | Tot: 1m12s | Loss: 0.018 | Acc: 99.857% (18917/18944)              
 [============================================================>....] 75/79   Step: 967ms | Tot: 1m13s | Loss: 0.018 | Acc: 99.854% (19172/19200)              
 [=============================================================>...] 76/79   Step: 853ms | Tot: 1m14s | Loss: 0.018 | Acc: 99.851% (19427/19456)              
 [==============================================================>..] 77/79   Step: 853ms | Tot: 1m14s | Loss: 0.018 | Acc: 99.853% (19683/19712)              
 [===============================================================>.] 78/79   Step: 852ms | Tot: 1m15s | Loss: 0.018 | Acc: 99.850% (19938/19968)              
 [================================================================>] 79/79   Step: 861ms | Tot: 1m16s | Loss: 0.019 | Acc: 99.845% (19969/20000)
 [>................................................................] 1/40   Step: 1s429ms | Tot: 0ms | Loss: 1.107 | Acc: 72.266% (185/256)              
 [=>...............................................................] 2/40   Step: 561ms | Tot: 561ms | Loss: 1.121 | Acc: 74.023% (379/512)              
 [===>.............................................................] 3/40   Step: 419ms | Tot: 980ms | Loss: 1.225 | Acc: 72.135% (554/768)              
 [====>............................................................] 4/40   Step: 421ms | Tot: 1s402ms | Loss: 1.269 | Acc: 72.168% (739/1024)              
 [======>..........................................................] 5/40   Step: 418ms | Tot: 1s820ms | Loss: 1.341 | Acc: 71.250% (912/1280)              
 [========>........................................................] 6/40   Step: 417ms | Tot: 2s238ms | Loss: 1.337 | Acc: 71.680% (1101/1536)              
 [=========>.......................................................] 7/40   Step: 515ms | Tot: 2s753ms | Loss: 1.394 | Acc: 71.094% (1274/1792)              
 [===========>.....................................................] 8/40   Step: 417ms | Tot: 3s170ms | Loss: 1.373 | Acc: 71.240% (1459/2048)              
 [=============>...................................................] 9/40   Step: 436ms | Tot: 3s607ms | Loss: 1.357 | Acc: 71.571% (1649/2304)              
 [==============>..................................................] 10/40   Step: 417ms | Tot: 4s24ms | Loss: 1.353 | Acc: 71.602% (1833/2560)              
 [================>................................................] 11/40   Step: 416ms | Tot: 4s441ms | Loss: 1.347 | Acc: 71.768% (2021/2816)              
 [=================>...............................................] 12/40   Step: 417ms | Tot: 4s858ms | Loss: 1.355 | Acc: 71.615% (2200/3072)              
 [===================>.............................................] 13/40   Step: 514ms | Tot: 5s373ms | Loss: 1.355 | Acc: 71.635% (2384/3328)              
 [=====================>...........................................] 14/40   Step: 418ms | Tot: 5s792ms | Loss: 1.361 | Acc: 71.317% (2556/3584)              
 [======================>..........................................] 15/40   Step: 417ms | Tot: 6s209ms | Loss: 1.347 | Acc: 71.484% (2745/3840)              
 [========================>........................................] 16/40   Step: 416ms | Tot: 6s626ms | Loss: 1.349 | Acc: 71.338% (2922/4096)              
 [==========================>......................................] 17/40   Step: 415ms | Tot: 7s42ms | Loss: 1.355 | Acc: 71.324% (3104/4352)              
 [===========================>.....................................] 18/40   Step: 416ms | Tot: 7s458ms | Loss: 1.356 | Acc: 71.246% (3283/4608)              
 [=============================>...................................] 19/40   Step: 519ms | Tot: 7s977ms | Loss: 1.355 | Acc: 71.176% (3462/4864)              
 [==============================>..................................] 20/40   Step: 417ms | Tot: 8s395ms | Loss: 1.340 | Acc: 71.328% (3652/5120)              
 [================================>................................] 21/40   Step: 419ms | Tot: 8s814ms | Loss: 1.339 | Acc: 71.336% (3835/5376)              
 [==================================>..............................] 22/40   Step: 417ms | Tot: 9s231ms | Loss: 1.340 | Acc: 71.378% (4020/5632)              
 [===================================>.............................] 23/40   Step: 415ms | Tot: 9s646ms | Loss: 1.352 | Acc: 71.281% (4197/5888)              
 [=====================================>...........................] 24/40   Step: 416ms | Tot: 10s63ms | Loss: 1.358 | Acc: 71.077% (4367/6144)              
 [=======================================>.........................] 25/40   Step: 514ms | Tot: 10s577ms | Loss: 1.357 | Acc: 70.938% (4540/6400)              
 [========================================>........................] 26/40   Step: 415ms | Tot: 10s993ms | Loss: 1.352 | Acc: 70.944% (4722/6656)              
 [==========================================>......................] 27/40   Step: 415ms | Tot: 11s409ms | Loss: 1.355 | Acc: 70.935% (4903/6912)              
 [===========================================>.....................] 28/40   Step: 414ms | Tot: 11s824ms | Loss: 1.350 | Acc: 71.010% (5090/7168)              
 [=============================================>...................] 29/40   Step: 416ms | Tot: 12s240ms | Loss: 1.345 | Acc: 71.053% (5275/7424)              
 [===============================================>.................] 30/40   Step: 414ms | Tot: 12s655ms | Loss: 1.341 | Acc: 71.133% (5463/7680)              
 [================================================>................] 31/40   Step: 513ms | Tot: 13s168ms | Loss: 1.345 | Acc: 71.144% (5646/7936)              
 [==================================================>..............] 32/40   Step: 432ms | Tot: 13s601ms | Loss: 1.341 | Acc: 71.216% (5834/8192)              
 [====================================================>............] 33/40   Step: 416ms | Tot: 14s18ms | Loss: 1.342 | Acc: 71.129% (6009/8448)              
 [=====================================================>...........] 34/40   Step: 418ms | Tot: 14s436ms | Loss: 1.347 | Acc: 71.071% (6186/8704)              
 [=======================================================>.........] 35/40   Step: 416ms | Tot: 14s853ms | Loss: 1.348 | Acc: 71.094% (6370/8960)              
 [========================================================>........] 36/40   Step: 376ms | Tot: 15s229ms | Loss: 1.346 | Acc: 71.105% (6553/9216)              
 [==========================================================>......] 37/40   Step: 471ms | Tot: 15s701ms | Loss: 1.351 | Acc: 71.009% (6726/9472)              
 [============================================================>....] 38/40   Step: 371ms | Tot: 16s72ms | Loss: 1.346 | Acc: 71.063% (6913/9728)              
 [=============================================================>...] 39/40   Step: 372ms | Tot: 16s445ms | Loss: 1.352 | Acc: 71.024% (7091/9984)              
 [===============================================================>.] 40/40   Step: 375ms | Tot: 16s820ms | Loss: 1.352 | Acc: 71.000% (7100/10000)

Epoch: 48
 [>................................................................] 1/79   Step: 1s939ms | Tot: 0ms | Loss: 0.015 | Acc: 100.000% (256/256)              
 [>................................................................] 2/79   Step: 1s127ms | Tot: 1s127ms | Loss: 0.019 | Acc: 99.805% (511/512)              
 [=>...............................................................] 3/79   Step: 968ms | Tot: 2s95ms | Loss: 0.016 | Acc: 99.870% (767/768)              
 [==>..............................................................] 4/79   Step: 968ms | Tot: 3s64ms | Loss: 0.018 | Acc: 99.805% (1022/1024)              
 [===>.............................................................] 5/79   Step: 966ms | Tot: 4s31ms | Loss: 0.019 | Acc: 99.844% (1278/1280)              
 [====>............................................................] 6/79   Step: 982ms | Tot: 5s14ms | Loss: 0.019 | Acc: 99.805% (1533/1536)              
 [====>............................................................] 7/79   Step: 1s68ms | Tot: 6s82ms | Loss: 0.019 | Acc: 99.833% (1789/1792)              
 [=====>...........................................................] 8/79   Step: 965ms | Tot: 7s47ms | Loss: 0.018 | Acc: 99.854% (2045/2048)              
 [======>..........................................................] 9/79   Step: 965ms | Tot: 8s13ms | Loss: 0.019 | Acc: 99.870% (2301/2304)              
 [=======>.........................................................] 10/79   Step: 962ms | Tot: 8s975ms | Loss: 0.018 | Acc: 99.883% (2557/2560)              
 [========>........................................................] 11/79   Step: 1s64ms | Tot: 10s40ms | Loss: 0.019 | Acc: 99.893% (2813/2816)              
 [=========>.......................................................] 12/79   Step: 964ms | Tot: 11s4ms | Loss: 0.018 | Acc: 99.902% (3069/3072)              
 [=========>.......................................................] 13/79   Step: 965ms | Tot: 11s970ms | Loss: 0.018 | Acc: 99.910% (3325/3328)              
 [==========>......................................................] 14/79   Step: 965ms | Tot: 12s936ms | Loss: 0.018 | Acc: 99.888% (3580/3584)              
 [===========>.....................................................] 15/79   Step: 962ms | Tot: 13s899ms | Loss: 0.018 | Acc: 99.896% (3836/3840)              
 [============>....................................................] 16/79   Step: 1s85ms | Tot: 14s984ms | Loss: 0.019 | Acc: 99.878% (4091/4096)              
 [=============>...................................................] 17/79   Step: 964ms | Tot: 15s949ms | Loss: 0.019 | Acc: 99.862% (4346/4352)              
 [=============>...................................................] 18/79   Step: 962ms | Tot: 16s912ms | Loss: 0.019 | Acc: 99.870% (4602/4608)              
 [==============>..................................................] 19/79   Step: 965ms | Tot: 17s878ms | Loss: 0.019 | Acc: 99.836% (4856/4864)              
 [===============>.................................................] 20/79   Step: 1s70ms | Tot: 18s948ms | Loss: 0.019 | Acc: 99.844% (5112/5120)              
 [================>................................................] 21/79   Step: 962ms | Tot: 19s910ms | Loss: 0.020 | Acc: 99.814% (5366/5376)              
 [=================>...............................................] 22/79   Step: 963ms | Tot: 20s874ms | Loss: 0.020 | Acc: 99.805% (5621/5632)              
 [==================>..............................................] 23/79   Step: 963ms | Tot: 21s838ms | Loss: 0.020 | Acc: 99.796% (5876/5888)              
 [==================>..............................................] 24/79   Step: 970ms | Tot: 22s808ms | Loss: 0.020 | Acc: 99.805% (6132/6144)              
 [===================>.............................................] 25/79   Step: 1s64ms | Tot: 23s872ms | Loss: 0.020 | Acc: 99.812% (6388/6400)              
 [====================>............................................] 26/79   Step: 980ms | Tot: 24s853ms | Loss: 0.020 | Acc: 99.820% (6644/6656)              
 [=====================>...........................................] 27/79   Step: 966ms | Tot: 25s819ms | Loss: 0.020 | Acc: 99.826% (6900/6912)              
 [======================>..........................................] 28/79   Step: 968ms | Tot: 26s787ms | Loss: 0.020 | Acc: 99.819% (7155/7168)              
 [=======================>.........................................] 29/79   Step: 967ms | Tot: 27s754ms | Loss: 0.020 | Acc: 99.811% (7410/7424)              
 [=======================>.........................................] 30/79   Step: 1s64ms | Tot: 28s819ms | Loss: 0.020 | Acc: 99.805% (7665/7680)              
 [========================>........................................] 31/79   Step: 965ms | Tot: 29s784ms | Loss: 0.020 | Acc: 99.798% (7920/7936)              
 [=========================>.......................................] 32/79   Step: 968ms | Tot: 30s752ms | Loss: 0.020 | Acc: 99.805% (8176/8192)              
 [==========================>......................................] 33/79   Step: 965ms | Tot: 31s718ms | Loss: 0.020 | Acc: 99.811% (8432/8448)              
 [===========================>.....................................] 34/79   Step: 1s65ms | Tot: 32s784ms | Loss: 0.020 | Acc: 99.816% (8688/8704)              
 [===========================>.....................................] 35/79   Step: 965ms | Tot: 33s750ms | Loss: 0.020 | Acc: 99.821% (8944/8960)              
 [============================>....................................] 36/79   Step: 974ms | Tot: 34s724ms | Loss: 0.020 | Acc: 99.816% (9199/9216)              
 [=============================>...................................] 37/79   Step: 974ms | Tot: 35s698ms | Loss: 0.020 | Acc: 99.810% (9454/9472)              
 [==============================>..................................] 38/79   Step: 967ms | Tot: 36s666ms | Loss: 0.020 | Acc: 99.815% (9710/9728)              
 [===============================>.................................] 39/79   Step: 1s66ms | Tot: 37s732ms | Loss: 0.020 | Acc: 99.810% (9965/9984)              
 [================================>................................] 40/79   Step: 964ms | Tot: 38s697ms | Loss: 0.020 | Acc: 99.805% (10220/10240)              
 [================================>................................] 41/79   Step: 966ms | Tot: 39s663ms | Loss: 0.020 | Acc: 99.809% (10476/10496)              
 [=================================>...............................] 42/79   Step: 965ms | Tot: 40s628ms | Loss: 0.020 | Acc: 99.814% (10732/10752)              
 [==================================>..............................] 43/79   Step: 1s68ms | Tot: 41s696ms | Loss: 0.020 | Acc: 99.809% (10987/11008)              
 [===================================>.............................] 44/79   Step: 963ms | Tot: 42s659ms | Loss: 0.020 | Acc: 99.814% (11243/11264)              
 [====================================>............................] 45/79   Step: 971ms | Tot: 43s630ms | Loss: 0.020 | Acc: 99.809% (11498/11520)              
 [=====================================>...........................] 46/79   Step: 975ms | Tot: 44s605ms | Loss: 0.020 | Acc: 99.805% (11753/11776)              
 [=====================================>...........................] 47/79   Step: 982ms | Tot: 45s588ms | Loss: 0.020 | Acc: 99.809% (12009/12032)              
 [======================================>..........................] 48/79   Step: 1s67ms | Tot: 46s655ms | Loss: 0.020 | Acc: 99.813% (12265/12288)              
 [=======================================>.........................] 49/79   Step: 968ms | Tot: 47s623ms | Loss: 0.020 | Acc: 99.817% (12521/12544)              
 [========================================>........................] 50/79   Step: 963ms | Tot: 48s587ms | Loss: 0.020 | Acc: 99.820% (12777/12800)              
 [=========================================>.......................] 51/79   Step: 968ms | Tot: 49s556ms | Loss: 0.020 | Acc: 99.824% (13033/13056)              
 [=========================================>.......................] 52/79   Step: 1s62ms | Tot: 50s619ms | Loss: 0.020 | Acc: 99.827% (13289/13312)              
 [==========================================>......................] 53/79   Step: 970ms | Tot: 51s589ms | Loss: 0.020 | Acc: 99.823% (13544/13568)              
 [===========================================>.....................] 54/79   Step: 986ms | Tot: 52s575ms | Loss: 0.020 | Acc: 99.826% (13800/13824)              
 [============================================>....................] 55/79   Step: 965ms | Tot: 53s541ms | Loss: 0.020 | Acc: 99.830% (14056/14080)              
 [=============================================>...................] 56/79   Step: 965ms | Tot: 54s506ms | Loss: 0.020 | Acc: 99.826% (14311/14336)              
 [==============================================>..................] 57/79   Step: 1s81ms | Tot: 55s588ms | Loss: 0.020 | Acc: 99.829% (14567/14592)              
 [==============================================>..................] 58/79   Step: 966ms | Tot: 56s555ms | Loss: 0.020 | Acc: 99.832% (14823/14848)              
 [===============================================>.................] 59/79   Step: 963ms | Tot: 57s518ms | Loss: 0.019 | Acc: 99.834% (15079/15104)              
 [================================================>................] 60/79   Step: 964ms | Tot: 58s483ms | Loss: 0.019 | Acc: 99.837% (15335/15360)              
 [=================================================>...............] 61/79   Step: 963ms | Tot: 59s447ms | Loss: 0.019 | Acc: 99.834% (15590/15616)              
 [==================================================>..............] 62/79   Step: 1s64ms | Tot: 1m511ms | Loss: 0.019 | Acc: 99.836% (15846/15872)              
 [===================================================>.............] 63/79   Step: 962ms | Tot: 1m1s | Loss: 0.019 | Acc: 99.833% (16101/16128)              
 [===================================================>.............] 64/79   Step: 964ms | Tot: 1m2s | Loss: 0.020 | Acc: 99.829% (16356/16384)              
 [====================================================>............] 65/79   Step: 968ms | Tot: 1m3s | Loss: 0.019 | Acc: 99.832% (16612/16640)              
 [=====================================================>...........] 66/79   Step: 1s77ms | Tot: 1m4s | Loss: 0.020 | Acc: 99.828% (16867/16896)              
 [======================================================>..........] 67/79   Step: 992ms | Tot: 1m5s | Loss: 0.020 | Acc: 99.831% (17123/17152)              
 [=======================================================>.........] 68/79   Step: 962ms | Tot: 1m6s | Loss: 0.019 | Acc: 99.833% (17379/17408)              
 [=======================================================>.........] 69/79   Step: 967ms | Tot: 1m7s | Loss: 0.020 | Acc: 99.825% (17633/17664)              
 [========================================================>........] 70/79   Step: 966ms | Tot: 1m8s | Loss: 0.020 | Acc: 99.821% (17888/17920)              
 [=========================================================>.......] 71/79   Step: 1s63ms | Tot: 1m9s | Loss: 0.019 | Acc: 99.824% (18144/18176)              
 [==========================================================>......] 72/79   Step: 963ms | Tot: 1m10s | Loss: 0.019 | Acc: 99.826% (18400/18432)              
 [===========================================================>.....] 73/79   Step: 964ms | Tot: 1m11s | Loss: 0.019 | Acc: 99.829% (18656/18688)              
 [============================================================>....] 74/79   Step: 966ms | Tot: 1m12s | Loss: 0.019 | Acc: 99.826% (18911/18944)              
 [============================================================>....] 75/79   Step: 970ms | Tot: 1m13s | Loss: 0.020 | Acc: 99.812% (19164/19200)              
 [=============================================================>...] 76/79   Step: 851ms | Tot: 1m14s | Loss: 0.019 | Acc: 99.810% (19419/19456)              
 [==============================================================>..] 77/79   Step: 869ms | Tot: 1m15s | Loss: 0.019 | Acc: 99.812% (19675/19712)              
 [===============================================================>.] 78/79   Step: 851ms | Tot: 1m15s | Loss: 0.019 | Acc: 99.810% (19930/19968)              
 [================================================================>] 79/79   Step: 867ms | Tot: 1m16s | Loss: 0.020 | Acc: 99.795% (19959/20000)
 [>................................................................] 1/40   Step: 1s266ms | Tot: 0ms | Loss: 1.170 | Acc: 71.875% (184/256)              
 [=>...............................................................] 2/40   Step: 421ms | Tot: 422ms | Loss: 1.180 | Acc: 74.023% (379/512)              
 [===>.............................................................] 3/40   Step: 422ms | Tot: 844ms | Loss: 1.291 | Acc: 71.875% (552/768)              
 [====>............................................................] 4/40   Step: 417ms | Tot: 1s262ms | Loss: 1.341 | Acc: 70.410% (721/1024)              
 [======>..........................................................] 5/40   Step: 418ms | Tot: 1s680ms | Loss: 1.388 | Acc: 70.000% (896/1280)              
 [========>........................................................] 6/40   Step: 416ms | Tot: 2s96ms | Loss: 1.380 | Acc: 70.638% (1085/1536)              
 [=========>.......................................................] 7/40   Step: 516ms | Tot: 2s613ms | Loss: 1.417 | Acc: 70.312% (1260/1792)              
 [===========>.....................................................] 8/40   Step: 417ms | Tot: 3s31ms | Loss: 1.395 | Acc: 70.605% (1446/2048)              
 [=============>...................................................] 9/40   Step: 419ms | Tot: 3s450ms | Loss: 1.386 | Acc: 70.660% (1628/2304)              
 [==============>..................................................] 10/40   Step: 416ms | Tot: 3s867ms | Loss: 1.375 | Acc: 70.742% (1811/2560)              
 [================>................................................] 11/40   Step: 418ms | Tot: 4s285ms | Loss: 1.366 | Acc: 71.129% (2003/2816)              
 [=================>...............................................] 12/40   Step: 519ms | Tot: 4s804ms | Loss: 1.376 | Acc: 70.996% (2181/3072)              
 [===================>.............................................] 13/40   Step: 417ms | Tot: 5s221ms | Loss: 1.377 | Acc: 71.004% (2363/3328)              
 [=====================>...........................................] 14/40   Step: 416ms | Tot: 5s638ms | Loss: 1.385 | Acc: 70.843% (2539/3584)              
 [======================>..........................................] 15/40   Step: 418ms | Tot: 6s57ms | Loss: 1.369 | Acc: 71.068% (2729/3840)              
 [========================>........................................] 16/40   Step: 418ms | Tot: 6s475ms | Loss: 1.368 | Acc: 70.947% (2906/4096)              
 [==========================>......................................] 17/40   Step: 433ms | Tot: 6s909ms | Loss: 1.372 | Acc: 70.979% (3089/4352)              
 [===========================>.....................................] 18/40   Step: 523ms | Tot: 7s433ms | Loss: 1.372 | Acc: 70.920% (3268/4608)              
 [=============================>...................................] 19/40   Step: 417ms | Tot: 7s850ms | Loss: 1.372 | Acc: 70.868% (3447/4864)              
 [==============================>..................................] 20/40   Step: 416ms | Tot: 8s267ms | Loss: 1.358 | Acc: 71.035% (3637/5120)              
 [================================>................................] 21/40   Step: 417ms | Tot: 8s684ms | Loss: 1.356 | Acc: 71.057% (3820/5376)              
 [==================================>..............................] 22/40   Step: 417ms | Tot: 9s101ms | Loss: 1.353 | Acc: 71.147% (4007/5632)              
 [===================================>.............................] 23/40   Step: 549ms | Tot: 9s650ms | Loss: 1.364 | Acc: 71.060% (4184/5888)              
 [=====================================>...........................] 24/40   Step: 418ms | Tot: 10s69ms | Loss: 1.368 | Acc: 70.866% (4354/6144)              
 [=======================================>.........................] 25/40   Step: 416ms | Tot: 10s485ms | Loss: 1.364 | Acc: 70.828% (4533/6400)              
 [========================================>........................] 26/40   Step: 416ms | Tot: 10s901ms | Loss: 1.359 | Acc: 70.838% (4715/6656)              
 [==========================================>......................] 27/40   Step: 416ms | Tot: 11s318ms | Loss: 1.363 | Acc: 70.761% (4891/6912)              
 [===========================================>.....................] 28/40   Step: 416ms | Tot: 11s734ms | Loss: 1.358 | Acc: 70.912% (5083/7168)              
 [=============================================>...................] 29/40   Step: 515ms | Tot: 12s249ms | Loss: 1.354 | Acc: 71.026% (5273/7424)              
 [===============================================>.................] 30/40   Step: 416ms | Tot: 12s665ms | Loss: 1.352 | Acc: 71.081% (5459/7680)              
 [================================================>................] 31/40   Step: 416ms | Tot: 13s82ms | Loss: 1.356 | Acc: 71.069% (5640/7936)              
 [==================================================>..............] 32/40   Step: 420ms | Tot: 13s502ms | Loss: 1.350 | Acc: 71.179% (5831/8192)              
 [====================================================>............] 33/40   Step: 416ms | Tot: 13s919ms | Loss: 1.352 | Acc: 71.058% (6003/8448)              
 [=====================================================>...........] 34/40   Step: 518ms | Tot: 14s438ms | Loss: 1.358 | Acc: 70.933% (6174/8704)              
 [=======================================================>.........] 35/40   Step: 416ms | Tot: 14s854ms | Loss: 1.358 | Acc: 70.982% (6360/8960)              
 [========================================================>........] 36/40   Step: 376ms | Tot: 15s231ms | Loss: 1.357 | Acc: 71.029% (6546/9216)              
